read from src/date/medici.csv,25 4 2020 14:19
read from src/date/medici.csv,25 4 2020 14:19
read from src/date/angajati.csv,25 4 2020 14:19
read from src/date/pacienti.csv,25 4 2020 14:19
read from src/date/pacienti.csv,25 4 2020 14:19
read from src/date/programari.csv,25 4 2020 14:19
read from src/date/programari.csv,25 4 2020 14:19
read from src/date/programari.csv,25 4 2020 14:19
read from src/date/programari.csv,25 4 2020 14:19
write in src/date/out.csv,25 4 2020 14:19
write in src/date/out.csv,25 4 2020 14:19
read from src/date/medici.csv,3 6 2020 15:58
read from src/date/medici.csv,3 6 2020 15:58
read from src/date/angajati.csv,3 6 2020 15:58
read from src/date/pacienti.csv,3 6 2020 15:58
read from src/date/pacienti.csv,3 6 2020 15:58
read from src/date/programari.csv,3 6 2020 15:58
read from src/date/programari.csv,3 6 2020 15:58
read from src/date/programari.csv,3 6 2020 15:58
read from src/date/programari.csv,3 6 2020 15:58
write in src/date/out.csv,3 6 2020 15:58
write in src/date/out.csv,3 6 2020 15:58
read from src/date/medici.csv,3 6 2020 16:05
read from src/date/medici.csv,3 6 2020 16:05
read from src/date/angajati.csv,3 6 2020 16:05
read from src/date/pacienti.csv,3 6 2020 16:05
read from src/date/pacienti.csv,3 6 2020 16:05
read from src/date/programari.csv,3 6 2020 16:05
read from src/date/programari.csv,3 6 2020 16:05
read from src/date/programari.csv,3 6 2020 16:05
read from src/date/programari.csv,3 6 2020 16:05
write in src/date/out.csv,3 6 2020 16:05
write in src/date/out.csv,3 6 2020 16:05
read from src/date/medici.csv,3 6 2020 16:07
read from src/date/medici.csv,3 6 2020 16:07
read from src/date/angajati.csv,3 6 2020 16:07
read from src/date/pacienti.csv,3 6 2020 16:07
read from src/date/pacienti.csv,3 6 2020 16:07
read from src/date/programari.csv,3 6 2020 16:07
read from src/date/programari.csv,3 6 2020 16:07
read from src/date/programari.csv,3 6 2020 16:07
read from src/date/programari.csv,3 6 2020 16:07
write in src/date/out.csv,3 6 2020 16:07
write in src/date/out.csv,3 6 2020 16:07
read from src/date/medici.csv,3 6 2020 16:17
read from src/date/medici.csv,3 6 2020 16:17
read from src/date/angajati.csv,3 6 2020 16:17
read from src/date/pacienti.csv,3 6 2020 16:17
read from src/date/pacienti.csv,3 6 2020 16:17
read from src/date/programari.csv,3 6 2020 16:17
read from src/date/programari.csv,3 6 2020 16:17
read from src/date/programari.csv,3 6 2020 16:17
read from src/date/programari.csv,3 6 2020 16:17
write in src/date/out.csv,3 6 2020 16:17
